"","CONTROL_REP1","CONTROL_REP2","CONTROL_REP3","HD_REP1","HD_REP2","HD_REP3","KO_REP1","KO_REP2","KO_REP3","OE_REP1","OE_REP2","OE_REP3"
"ENSMUSG00000000001",613,430,528,469,494,764,437,1055,743,586,665,688
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",24,21,30,18,27,27,16,53,33,39,23,36
"ENSMUSG00000000031",63,1,1,1,4,15,0,314,7,9,4,12
"ENSMUSG00000000037",24,24,14,38,21,33,12,26,36,27,27,36
"ENSMUSG00000000049",3,2,3,2,2,5,1,1,5,3,5,2
"ENSMUSG00000000056",833,778,834,797,819,1073,735,802,1082,892,1055,872
"ENSMUSG00000000058",287,368,334,298,299,315,238,542,426,506,408,381
"ENSMUSG00000000078",549,753,509,595,719,896,498,2193,855,903,795,1008
"ENSMUSG00000000085",1283,1023,903,930,1208,1295,1042,932,1683,929,1034,1002
"ENSMUSG00000000088",1468,1258,1418,1435,1910,2546,1565,1453,2018,1620,1723,1659
"ENSMUSG00000000093",56,46,34,50,96,85,34,51,48,57,57,87
"ENSMUSG00000000094",3,1,4,4,6,15,5,4,8,9,8,10
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",78,32,49,132,35,378,89,148,129,157,89,75
"ENSMUSG00000000125",75,35,97,61,64,225,126,51,102,165,96,127
"ENSMUSG00000000126",41,143,122,108,70,73,60,114,129,178,122,62
"ENSMUSG00000000127",188,163,165,200,224,238,130,243,315,174,239,219
"ENSMUSG00000000131",1646,1348,1339,1271,1570,2215,1145,1730,2017,1696,1719,1759
"ENSMUSG00000000134",692,627,613,657,760,938,425,1065,854,781,809,814
"ENSMUSG00000000142",358,396,447,430,492,603,319,434,661,648,422,480
"ENSMUSG00000000148",467,378,371,489,506,662,382,482,589,496,430,517
"ENSMUSG00000000149",2604,1855,2196,2046,2351,4096,1908,2952,3169,2164,2478,2615
"ENSMUSG00000000154",3,2,1,18,30,47,8,16,6,26,12,34
"ENSMUSG00000000157",0,0,4,0,2,0,0,1,0,3,0,1
"ENSMUSG00000000159",2,6,5,6,12,12,3,13,5,2,1,12
"ENSMUSG00000000167",13,15,24,19,23,31,6,23,22,17,20,24
"ENSMUSG00000000168",1199,1219,1274,1217,1196,1534,1215,1216,1808,1468,1471,1345
"ENSMUSG00000000171",1060,990,1068,1054,1205,1575,942,1398,1384,1365,1247,1226
"ENSMUSG00000000182",7,6,8,5,6,12,1,6,12,13,14,12
"ENSMUSG00000000183",0,0,0,0,0,0,0,6,0,0,0,0
"ENSMUSG00000000184",1805,1316,1619,1043,1034,1542,1204,1563,2201,1212,1084,1219
"ENSMUSG00000000194",902,779,911,755,782,1105,707,1354,1183,928,840,1023
"ENSMUSG00000000197",1517,1314,1178,1245,1209,1278,1187,1002,2137,1549,1770,1546
"ENSMUSG00000000202",316,330,413,360,443,615,361,234,429,360,363,405
"ENSMUSG00000000204",306,0,1,1,12,12,2,1409,36,2,4,24
"ENSMUSG00000000214",86,54,62,71,65,246,94,63,96,77,86,114
"ENSMUSG00000000215",1,0,3,0,0,3,0,0,0,0,0,0
"ENSMUSG00000000216",1,0,0,3,0,10,3,0,4,0,0,1
"ENSMUSG00000000223",1558,1484,1343,1555,1555,1630,1245,1333,2103,1885,1773,1506
"ENSMUSG00000000244",15,2,2,13,33,49,6,208,9,25,9,89
"ENSMUSG00000000247",480,574,615,400,375,375,352,395,828,538,476,346
"ENSMUSG00000000248",1,0,3,1,0,3,0,7,0,0,0,3
"ENSMUSG00000000253",753,588,651,584,719,688,719,573,939,561,674,695
